source,content,classification
Jennifer Beck,"""We have more people working in the state of New Jersey today than we've ever had in our history.""",incredible
Government is Not God PAC,"""Barack Hussein Obama will ... force local authorities to allow Occupy protesters to live in parks.""",incredible
Government is Not God PAC,"""Barack Hussein Obama will ... force Christian schools to hire non-Christian teachers.""",incredible
Government is Not God PAC,"""Barack Hussein Obama will .. force Christian organizations to pay for abortions.""",incredible
Government is Not God PAC,"""Barack Hussein Obama will ... force courts to accept Islamic Sharia law in domestic disputes.""",incredible
Sherrod Brown,"Josh Mandel ""is lying about his own record. The rating of Ohio's investment fund has NOT improved.""",incredible
National Rifle Association,"Bill Nelson voted to confirm Sonia Sotomayor, ""who signed a Supreme Court opinion saying Americans do not have an individual right to own firearms.""",credible
Stacey Campfield,"Says that ""you can’t destroy the guns purchased in a (gun) buyback program as the city (of Memphis) wants to do.""",incredible
AFSCME,"Says Republican U.S. Senate candidate Tommy Thompson ""supports massive tax cuts for corporations that outsource Wisconsin jobs.""",credible
Chris Christie,"Says there are ""fewer jobs in America today than when Barack Obama became president.""",incredible
Joaquin Castro,"Texas is ""the state that has now gone the longest without electing a Democrat statewide.""",credible
Barry Hinckley,A poll conducted in Egypt revealed that 80 percent of Egyptians oppose receiving foreign aid from the United States.,credible
Yes on 79,"Says ""One of the state’s largest governments made charging this tax one of their top priorities just this year.""",incredible
Adam Hasner,"""President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York.""",credible
Americans For Tax Reform,Says Obama sent $450 million to China to build a wind farm in Texas.,incredible
Rick Perry,Says Barack Obama has added $16 trillion to the national debt.,incredible
Mitt Romney,"College tuition ""costs have risen by 25 percent under the Democrats.""",incredible
John Sharp,"Says scientists predict ""sometime in the future, an event that will kill … somewhere between 80 and 90 million people.""",credible
Secure America Now,"Says Obama adviser David Plouffe took ""large piles of cash"" from a joint venture partner of a company owned by Iran’s Revolutionary Guard.",credible
National Rifle Association,"""Bill Nelson voted for a ban on millions of commonly owned firearms, which included many popular hunting and target rifles.""",incredible
Karen Handel,"""The truth is, Planned Parenthood does not provide mammograms. Planned Parenthood refers women to mammography providers, serving as the middlewoman, if you will.""",credible
Barack Obama,"""Fast and Furious"" began under the Bush administration.",incredible
Barack Obama,"Says Romney tax plan ""could take away middle-class deductions for child care, mortgages and college tuition.""",incredible
Tommy Thompson,"""We have more natural gas than Saudi Arabia has oil.""",incredible
John Burzichelli,"Says ""the governor is going around the state talking about [how] we should fund an income tax cut"" that benefits higher income earners and not lower income earners",incredible
Karen Handel,"""Obamacare will provide coverage for abortions, despite the president’s commitment that it would not.""",credible
George Allen,"""Tim Kaine announced he wants to raise taxes on everyone.""",incredible
Republican Jewish Coalition,"Barack Obama ""refuses to acknowledge Jerusalem as the capital of Israel.""",credible
Marsha Blackburn,"Says that in the U.S. House of Representatives ""we’ve had bipartisan support for the repeal of Obamacare … for getting rid of cap and trade … for building the Keystone Pipeline.""",credible
Rob Zerban,"U.S. House opponent Paul Ryan supports ""cutting funding for veterans by 24 percent.""",incredible
Rob Andrews,"Says the ""number-one source"" of illegal immigration ""is people legally coming to the United States on a tourist visa or a student visa and then disappearing into the population and never being heard from again.""",incredible
Michael Riley,"James Langevin ""has received almost $20 million from taxpayers and special interests to use at his own discretion to supposedly champion Rhode Island’s needs.""",incredible
It's Still a Bad Idea,"""Their New York casino deal was called ‘rigged’ and ‘corrupt.’""",credible
Progress Texas,"Says a voter-adopted constitutional amendment ""instructed"" a state board headed by Jerry Patterson to put $300 million in investment earnings into a fund supporting public school operations.",incredible
Chris Devaney,"President Obama campaign surrogate Maryland Gov. Martin O’Malley ""acknowledged that we are not better off than we were four years ago.""",credible
Restore Our Future,"""Eight million Americans have dropped out of the work force since (Barack) Obama became president. ... The real unemployment rate is 19 percent.""",incredible
Mitt Romney,Says President Barack Obama is responsible for pending defense cuts.,credible
Democratic Senatorial Campaign Committee,"Says U.S. Senate candidate Tommy Thompson ""admitted"" that Washington, D.C., ""changed"" him into an insider selling his influence to make millions from powerful special interests.",incredible
William O'Brien,"Says when Republicans took over the state legislature in 2010, New Hampshire’s tax rate for employers was 50th in the nation, and unemployment had more than doubled under Democrats.",credible
Rob Portman,"The national debt of $16 trillion, is ""enough to buy both the Cleveland Indians and Cincinnati Reds 1,918 times.""",credible
Mitt Romney,"Says Barack Obama's comments indicate he ""believes in redistribution"" of wealth.",credible
Mitt Romney,"""Redistribution"" has ""never been a characteristic of America.""",incredible
Barack Obama,"""Even today part of Romney’s fortune is invested in China.""",credible
George Allen,"""Tim Kaine doubled down in his support of devastating defense cuts, saying the ‘the deal was the right thing to do.’""",credible
Gary Johnson,"""I am going to be on the ballot in all 50 states. There is no other third-party candidate that’s going to come close to achieving that.""",credible
Jon Runyan,"Says ""if we do nothing and continue to let Obamacare siphon off that $700 billion dollars off the top of it, Medicare goes away in less than 10 years -- certain accounts of it -- and it just falls apart at the seams.""",incredible
Americans For Tax Reform,"""Since President Obama took office, over 88,000 Ohio workers have lost their jobs.""",credible
Mitt Romney,"""Seven times Obama could have stopped China's cheating. Seven times, he refused.""",credible
Connie Mack,"""President Obama has no plan to reduce the deficit, let alone pay down the debt.""",incredible
Mitt Romney,"""Under Obama, families have lost over $4,000 a year in income.""",credible
Barack Obama,"Says Romney and Ryan ""both backed proposals that would outlaw abortions even in cases of rape or incest.""",credible
NAACP,"""Since 2000, only 10 cases of in-person voter fraud have been proven nationally.""",credible
John Boehner,"""The president went on a stimulus-fueled spending binge that stuck every American man, woman and child with a $50,000 share of this $16 trillion debt.""",incredible
Paul Ryan,"Based on the August 2012 national jobs numbers, ""for every person who got a job, nearly four people stopped looking for a job.""",credible
Mitt Romney,"The ""48, 49 percent"" that supports President Barack Obama are ""people who pay no income tax.""",incredible
Mitt Romney,"""Forty-seven percent of Americans pay no income tax.""",credible
Brendan Doherty,"""The Providence Economic Development Partnership . . .which you [Cicilline] chaired, loaned $103,000 in taxpayer funds to one of your campaign workers. The worker never paid back the loan.""",credible
Education Action Group,"""Portland Schools spend $500K to deem PB&J sandwiches racist.""",incredible
Mitt Romney,"""Fifty percent of kids coming out of school can't get a job.""",credible
Mitt Romney,"Says President Obama promised ""he'd keep unemployment below 8 percent"" if the stimulus passed.",incredible
National Republican Congressional Committee,"Says U.S. Rep. John Barrow ""left taxpayers on the hook for $950k study on genetic makeup of ants.""",credible
Jeanne Shaheen,"Says when Mitt Romney was governor, Massachusetts was 47th in job creation",credible
Rick Scott,The significant drop in Florida’s unemployment rate is a good economic sign.,incredible
Barack Obama,"Says he ""will protect your guaranteed benefits"" in Medicare while ""Mitt Romney would take away Medicare as guaranteed benefits.""",credible
Tommy Thompson,"An aide ""acted on his own"" and ""was not representing the Thompson campaign"" when he sent an email criticizing the sexual orientation of U.S. Senate candidate Tammy Baldwin.",incredible
Menendez Facts,"""Sen. Bob Menendez voted to enact a new tax on the sale of homes of 3.8%.""",incredible
Josh Mandel,Says  Sherrod Brown’s campaign attacked Josh Mandel’s military service,incredible
Phil Gingrey,"Medicare ""premium support"" backed by Republican vice presidential candidate Paul Ryan ""is not vouchers.""",incredible
Scott DesJarlais,"Defends his vote to push ""retirement age to 70"" by saying he is for ""a process"" that would not be fully implemented until ""around the turn of the century.""",incredible
Bernard Jackvony,"David Cicilline is ""the 5th most liberal person in the House of Representatives.""",incredible
Democratic Congressional Campaign Committee,"Says Republican U.S. Rep. Sean Duffy ""voted against paying our soldiers"" and ""against increasing combat pay"" while voting ""to protect his own pay.""",incredible
Shelley Adler,"Says Congressman Jon Runyan has a ""plan to raise Medicare costs $6,400 a year.""",incredible
Yes on 84,"The reason 29 states no longer have a death tax ""is that the tax damaged their economic competitiveness.""",incredible
Bill Hammond,"Says ""if current trends continue, by 2040, one out of three Texas workers will not have a high school diploma.""",credible
Barack Obama,"Says that under Mitt Romney, 89 million Americans could be denied coverage if they have a pre-existing condition.",credible
Mitt Romney,Says five studies show his tax plan can cut rates and still bring the same revenue without raising taxes on the middle class.,incredible
Mitt Romney,"Under Obama, home values in Florida collapsed, construction jobs were lost and the state had a high foreclosure rate.",incredible
Rick Scott,"After hearing ""the frustrations parents and teachers have with the FCAT,"" next year ""we begin improving our testing system.""",credible
Paul Summers,"Tennessee's appeals court judges ""were selected by a handful of party officials in Nashville"" before the system of ""merit selection"" was put into effect.",credible
Jennifer Granholm,"""With the auto rescue,"" President Barack Obama ""saved more than 1 million middle-class jobs all across America,"" including more than 28,000 in Wisconsin.",credible
Marcia Fudge,"""In Cuyahoga County ... 56 percent of weekend voters in 2008 were African American while adult African Americans comprise 28 percent of the county population.""",credible
Phil Gingrey,"The U.S. unemployment rate has remained above 8 percent for 43 consecutive months, the longest stretch since the Great Depression.",credible
Brendan Doherty,"David Cicilline was ""required to provide key information about city finances to an independent outside auditor. The deadlines were clear -- yet [he intentionally] missed them by months"" until after the November 2010 election.",incredible
Bill Kennemer,"""We just don't want to get to be like Louisiana, where you have drive-up daiquiri shops.""",credible
John Kerry,"On U.S.-Israeli relations, Prime Minister Benjamin Netanyahu ""set the record straight — he said, our two countries have 'exactly the same policy' (and) 'our security cooperation is unprecedented.'""",credible
Mark Strama,Says Rush Limbaugh made it clear he’d rather see the country fail than President Barack Obama succeed.,incredible
Jon Bramnick,"""The president promised that if he spent money on a stimulus program that unemployment would go to 5.7 percent or 6 percent. Those were his words.""",incredible
Charles Bass,"Ann Kuster ""supports the government takeover of healthcare, which robs Medicare of over $700 billion.""",incredible
Frank Guinta,"$50,000. That's what every child owes today because Washington politicians have run up a huge spending tab and left our kids the bill.""",credible
Jerry Patterson,"Says Sierra Club sued him to stop oil and gas activity on Texas coast, but ""we won"" and ""the turtles are fine.""",credible
Reid Ribble,"Says President Barack Obama ""built this $16 trillion debt.""",incredible
Leonard Lance,"""The Senate has not passed a budget in more than three years, not a good budget, not a bad budget, no budget.""",credible
Rob Portman,"""$16 trillion (the national debt) in $1 bills would cover the entire state of Ohio nearly 1.5 times.""",credible
American Civil Liberties Union,"Voter identification laws make it complicated and expensive to get an ID, essentially instituting a modern-day poll tax.",incredible
Gilberto Hinojosa,"Says that if Texas, California and New York all voted for Democratic presidential nominees, ""it would be mathematically impossible for Republicans to elect a president.""",incredible
It's Still a Bad Idea,"""This would be the largest casino in the United States.""",incredible
Paul Ryan,"Says he and Mitt Romney ""always said that we agree with the 2014 deadline"" for leaving Afghanistan.",credible
Chain email,"On new dollar coins, ""'In God We Trust' is gone!""",incredible
Kal Penn,Says Obama doubled funding for the Pell Grant.,credible
Barack Obama,"""We've doubled our use of renewable energy.""",incredible
Herb Garrett,Says Georgia will send more state money per child to state charter schools and that budget cuts are not applied to those charter schools.,credible
Barack Obama,"""After 30 years of inaction, we raised fuel standards so that by the middle of the next decade, cars and trucks will go twice as far on a gallon of gas.""",credible
Julián Castro,"""We’re seeing now 30 straight months of private-sector job growth, 4.6 million jobs created.""",credible
Bill Clinton,"The Obama administration is allowing state waivers from welfare work requirements ""only if they had a credible plan to increase employment by 20 percent.""",credible
Upendra Chivukula,"Says Republicans ""have declared that they’re going to convert the Medicare program into a voucher program.""",credible
Eric Cantor,"Wayne Powell has a ""stated position of having no objection to taking `In God We Trust"" off of U.S. currency.""",credible
Mike Berlon,"""We know there are more Democrats in Georgia than Republicans. We know that for a fact.""",incredible
Joe Biden,"""$500 billion of the extension of the Bush tax cuts for the wealthy goes to 120,000 families.""",credible
Cory Booker,"Says the Republican Party platform says ""pull back even more of the rules on campaign finance reform, get rid of McCain-Feingold"" while the Democratic Party platform says ""we want to find a way to put more fair rules on campaign finance reform.""",credible
Ann McLane Kuster,Says Charlie Bass forfeits right to equal cost for TV ads under FCC rules,incredible
CNSNews,"Says ""under Oregon law, girls from 15 years of age and up are given complete control over whether to be sterilized or not.""",incredible
Barack Obama,"Mitt Romney ""said it was 'tragic' to end the war in Iraq.""",credible
Bill Clinton,"Says President Barack Obama ""gives students the right to repay (federal) loans as a clear, fixed, low percentage of their income for up to 20 years.""",credible
Tennessee Democratic Party,"The ""Health Care Compact bill would end Medicare's guaranteed benefit for Tennessee's Medicare recipients and shift management of the federal health care plan to the state's TennCare program.""",incredible
Rob Portman,"""We've got 7.2 percent unemployment (in Ohio), but when you include the folks who have stopped looking for work, it's actually over 10 percent.""",credible
Barack Obama,Says Romney called Russia our No. 1 enemy.,credible
Barack Obama,"""I've cut taxes for ... middle-class families, small businesses.""",credible
Barack Obama,"Says his budget plan ""would cut our deficits by $4 trillion.""",credible
David Cicilline,"""The auditor [for the city of Providence] was not locked out"" of access to the city's finances.",incredible
Anthony Gemma,"Providence has ""amongst the highest tax rate(s) in the entire country.""",credible
Barack Obama,"""After a decade of decline, this country created over half a million manufacturing jobs in the last two and a half years.""",credible
Jennifer Granholm,"Says that Mitt Romney's response to the crisis in the auto industry was, ""Let Detroit go bankrupt.""",credible
Charlie Crist,"""Jeb Bush recently noted, Reagan himself would have been too moderate, too reasonable for today's GOP.""",credible
James Clyburn,"When Social Security, Medicare and Medicaid were created, ""Republicans stood on the sidelines""",incredible
Rahm Emanuel,Says Mitt Romney asked for a waiver from federal welfare rules.,incredible
Ted Strickland,"Ohio has ""created 45,000 new manufacturing jobs since 2010. And that's due in large part to the fact that the auto rescue has helped Ohio.""",credible
Bob King,"Under President Barack Obama’s leadership, ""since June 2009, (the auto) industry has added a quarter of a million jobs.""",credible
Gwen Moore,"Says House Republicans ""tried to change the definition of rape.""",incredible
Bill Clinton,"Says U.S. Rep. Paul Ryan attacked the president for ""the same amount of Medicare savings that (Ryan) had in his own budget.""",credible
George LeMieux,"Says Charlie Crist ""was pro-life, pro-gun and vehemently anti-tax.""",credible
Bill Clinton,"""In the last 29 months, our economy has produced about 4.5 million private-sector jobs.""",credible
Lone Star Project,"Says that like Todd Akin, all Texas Republicans in U.S. House cosponsored a bill ""that attempts to distinguish between ‘forcible rape’ and other sexual assaults.""",credible
Choose: New Jersey,"""We have more scientists and engineers per square mile than anywhere in the world.""",credible
Bill Clinton,"The stimulus program ""cut taxes for 95 percent of the American people.""",credible
Bill Clinton,"""Since 1961 … our private economy has produced 66 million private-sector jobs. So what's the jobs score? Republicans 24 million, Democrats 42 (million).""",credible
Kamala Harris,"Mitt Romney said we should let foreclosures ""hit the bottom.""",credible
Diana DeGette,"Women ""receive only 77 cents for every dollar a man earns.""",credible
Jack Markell,"When it comes to jobless workers, ""Mitt Romney says he likes to fire people.""",incredible
Kathleen Sebelius,"""Republicans would give seniors a (Medicare) voucher that limits what's covered, costing seniors as much as $6,400 more a year.""",credible
Joe Biden,"Says Republicans Mitt Romney and Paul Ryan support ""massive cuts in Social Security for future generations.""",credible
Debbie Wasserman Schultz,"Says she was misquoted and ""didn’t say"" that the Israeli ambassador said ""what the Republicans are doing is dangerous for Israel.""",incredible
Chris Christie,Says Bruce Springsteen played in 1975 at Seton Hall University in South Orange at Walsh gym.,credible
Julián Castro,"""Seven presidents before (Barack Obama) -- Republicans and Democrats -- tried to expand health care to all Americans.""",credible
Kelly Ayotte,"""Under President Bush in eight years, we added $4.9 trillion to the debt. Under President Obama, we've added $5.3 trillion to the debt in the 3.5 years he's been in office.""",credible
Julián Castro,"Says Mitt Romney told university students in Ohio that to start a business, they should ""borrow money if you have to from your parents.""",credible
Martin O'Malley,"Says Mitt Romney has put forward a plan ""that would cut taxes for millionaires while raising them for the middle class.""",credible
Ted Strickland,"Says Mitt Romney’s tax plans would ""give an additional $250,000 tax cut to millionaires and billionaires"" while raising taxes on the middle class.",credible
David Cicilline,"""We will spend $100 billion in Afghanistan this year, fixing roads, building bridges, training police officers, and more, [and] cutting the same things in our own country.""",incredible
Deval Patrick,"""By the time (Mitt Romney) left office, Massachusetts was 47th in the nation in job creation.""",credible
Julián Castro,Says Milken Institute rated San Antonio as nation’s top-performing local economy.,credible
Cory Booker,"""The first (state) budget that came out of our Republican leadership slashed funding to Planned Parenthood...It resulted in the reduction of hours, the elimination of days, elimination of access to women in my city and all over my state.""",credible
Hank Williams Jr.,Says Barack Obama is a Muslim.,incredible
George LeMieux,"In 2008, Charlie Crist ‘""applauded the pick of Sarah Palin and said she would do ‘a great job.’""",credible
Bob McDonnell,"The GOP platform that seeks further limits on abortion and is silent on an exception for rape ""has been there for more than 30 years.""",credible
Tammy Baldwin,"Federal law adopted ""under Tommy Thompson's watch"" prohibits the government from negotiating for ""better prices"" on prescription drugs for senior citizens",credible
Chris Christie,"Says Chris Christie was the ""first governor in America to endorse"" Mitt Romney.",incredible
Barbara Buono,"Says Gov. Chris Christie has embarked on a tour to ""demand that New Jersey’s Democratic legislature approve an immediate tax cut that would disproportionately benefit the wealthiest.""",incredible
Tennessee Democratic Party,"Says a federal judge ""sanctions Tennessee ‘birther’ lawyer … for bringing a frivolous lawsuit.""",credible
Anthony Gemma,U.S. military uniforms are manufactured in China.,incredible
Sam Olens,"Says opponents of the health care law  ""prevailed on our two main arguments"" to the U.S. Supreme Court.",credible
Mitt Romney,"At Bain Capital, ""we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.""",credible
Mitt Romney,"Under the ""Obama economy ... utility bills are higher.""",credible
Bob Buckhorn,"The unemployment rate is declining faster in Tampa ""than almost anywhere else.""",credible
Democratic Party of Oregon,"Says ""Bruce Starr voted to throw 6,000 Oregonians off unemployment.""",credible
Barack Obama,"Says under the Romney-Ryan budget ... ""the American Opportunity Tax Credit for college tuition would be eliminated.""",credible
Marco Rubio,"""There is an increasing amount of evidence from public polling that the highest number of Americans ever identify themselves as pro-life.""",credible
John Cornyn,"Says that when Democrats controlled Congress and the White House, federal spending as a share of the Gross Domestic Product leapt from 18.2 percent in 2001 to 25.2 percent in 2009 -- the largest such increase in any eight-year period since World War II.",incredible
Crossroads GPS,"""When Tim Kaine was governor, spending soared, blowing holes in the budget every year.""",incredible
Mitt Romney,"In his first TV interview as president, Obama said we ""should talk to Iran.""",credible
Mitt Romney,"Barack Obama began his presidency ""with an apology tour.""",incredible
Mitt Romney,"""The majority of Americans now doubt that our children will have a better future.""",credible
Jeb Bush,"""In Massachusetts, Gov. Romney narrowed the gap between students of different races.""",credible
Callista Gingrich,"President Barack Obama has ""weakened the respect for America abroad.""",incredible
Clackamas County Commission,"Clackamas County Commissioners ""approved a re-negotiated agreement to lower the county’s contribution to TriMet’s Portland-Milwaukie Light Rail project to $19.9 million from $25 million.""",incredible
Rick Santorum,"President Obama’s education ""solution"" includes an effort to ""nationalize curriculum.""",incredible
Bill Nelson,"Says Connie Mack IV co-sponsored a bill to ""take a third of the Social Security Trust Fund ... give it in individual accounts to the senior citizens, who then were to invest it in the stock market.""",incredible
Nikki Haley,"Says ""President Obama and his National Labor Relations Board"" sued Boeing over its decision to open a plant in South Carolina.",credible
Chris Christie,"Says the national health care law puts federal ""bureaucrats between an American citizen and her doctor.""",incredible
Chris Christie,"Says the United States has ""the world’s greatest health care system.""",credible
Crossroads GPS,"Says Sherrod Brown voted ""for the $1.17 trillion health care law that adds a new tax on Ohio manufacturers.""",credible
Anthony Gemma,"Says that as Providence’s mayor, David Cicilline said the city had a ""world-class … school system. Not only did Providence not have a world-class school system but as measured, was amongst the last school system in the entire country.""",incredible
David Cicilline,"""When President Obama took office, we were losing 700,000 jobs a month. Now we've had job growth, I think, for 24 consecutive months.""",credible
Paul Ryan,"In Massachusetts under Mitt Romney, ""unemployment went down, household incomes went up,"" and the state ""saw its credit rating upgraded.""",credible
Paul Ryan,Says President Barack Obama broke his promise to keep a Wisconsin GM plant from closing.,incredible
Paul Ryan,"President Obama ""funneled"" $716 billion out of Medicare ""at the expense of the elderly.""",incredible
John Thune,"The Obama administration ""even proposed banning farm kids from doing basic chores!""",incredible
Rob Portman,"Barack Obama has ""never even worked in business.""",incredible
Pam Bondi,Says women care most about jobs and the economy,credible
Rick Santorum,"When his grandfather arrived in the United States, ""there were no government benefits for immigrants.""",incredible
Stephanie Cutter,"""Mitt Romney’s platform ...won't protect the mortgage interest (tax) deduction for middle-class families.""",incredible
Scott Walker,"""Last month, 44 of the 50 states saw an increase in the unemployment rate.""",credible
Paul Ryan,"Wealthy taxpayers, not middle-income earners, get ""most of the deductions"" in the tax code.",credible
Sher Valenzuela,"""A Gallup report recently said that nearly 50 percent of small business owners aren't hiring because of what they call ‘regulatory uncertainty.’""",credible
Ted Lyon,Says most Texas schools spend 45 out of 180 school days in mandated testing.,incredible
Michele Bachmann,"""A report just came out that if we continue with President Obama's policies, we're looking at over 9 percent unemployment next year in the fourth quarter.""",incredible
Florida Wildlife Federation,Claims Ohio Gov. John Kasich says climate change is a problem.,credible
Michael Riley,"""President Obama is attacking Paul Ryan on Medicare even though it is his administration with the help of Jim Langevin who cut $716 billion from Medicare.""",credible
Chris Christie,"Says they said ""it was impossible to balance a budget at the same time, with an $11 billion deficit"" and ""we did it.""",credible
Chris Christie,"Says ""taxes were raised 115 times in the eight years before I became governor"" and those increases were part of a ""path that led to wealth and jobs and people leaving our state.""",credible
Artur Davis,"The health care law imposes a federal mandate requiring middle-class Americans to buy health insurance ""whether they can afford it or not.""",incredible
Chris Christie,"There has been ""$5 trillion in debt added over the last four years.""",credible
Rick Santorum,"Says President Obama has waived ""the work requirement for welfare.""",incredible
Ted Cruz,Says our national debt is greater than our gross domestic product.,credible
Barack Obama,"Says Paul Ryan ""tried to change the whole game"" for Social Security",credible
Paul Ryan,"""Household income in America has gone down for families an average of $4,000 in the last four years"" while it "" went up $5,000"" under Mitt Romney when he was governor of Massachusetts",incredible
Jeb Bush,"""If you look at the number of illegal immigrants coming into the country, it is net zero. It's been that way now for almost two years.""",credible
Jerry Patterson,Says a portfolio managed by the Texas General Land Office earned 22 percent last year while the state’s emergency reserve account experienced a 1 percent gain.,credible
Teresa Fedor,Says Republicans supported legislation on early voting and in-person voting in 2005.,credible
Reince Priebus,"Mitt Romney ""gave away his father's inheritance.""",credible
Stephanie Cutter,"In the past 27 months, President Barack Obama has created more private-sector jobs than ""in the Reagan recovery.""",incredible
Mitt Romney,"""Half the kids coming out of college this year … can't find a job, or a job that's consistent with a college degree.""",credible
Lamar Smith,Says the top 20 percent of income earners pay nearly 70 percent of all federal taxes.,credible
Charlie Crist,"Republicans included ""the Akin amendment in the Republican Party platform, which bans abortion, even for rape victims.""",credible
BillHislam.com,"Says that Tennessee Gov. Bill Haslam ""has made it clear by his repeated actions that he will pursue a policy that promotes the interest of Islamist (sic) and their radical ideology as long as he is governor.""",incredible
Wayne Powell,"""This year, Eric Cantor has received more money from oil companies than any other member of Congress.""",incredible
Tammy Baldwin,"Says U.S. Senate rival Tommy Thompson ""wants to give a new $265,000 tax cut to millionaires like himself while raising taxes on the middle class.""",credible
Joseph Kyrillos,"""We've got the highest corporate tax rate in the world.""",credible
George Allen,The state government workforce grew when Tim Kaine was governor.,incredible
Bob McDonnell,"""Independent voters have a ten-point margin in favor of Mitt Romney right now.""",credible
Mitt Romney,"""In 2008, candidate Barack Obama attacked John McCain for proposing cuts to Medicare.""",credible
Tommy Thompson,"Says U.S. Senate rival Tammy Baldwin wants a ""completely government-controlled"" health care system that goes ""far beyond 'Obamacare'"" and is ""a Medicare system for all.""",credible
Bob Corker,"""We have only one person on the (TVA) board, to my knowledge, who even has any corporate board experience.""",credible
Sheldon Whitehouse,"""For Social Security, which is projected to remain solvent through 2033, Whitehouse has cosponsored [a bill that] . . . would extend the life of the program by an additional 75 years.""",credible
Barack Obama,"""His new running mate, Congressman Ryan, put forward a plan that would let Governor Romney pay less than 1 percent in taxes each year.""",credible
Paul Ryan,"The Romney-Ryan plan for Medicare ""does not affect"" benefits for anyone 55 or older.",credible
Special Operations OPSEC Education Fund,"The Obama administration ""willfully leaked the existence of STUXNET (a computer worm used against Iran), allowing our enemies to learn more of our secrets and of our operations.""",credible
Billboard,The price of gasoline was at $1.85 a gallon when President Barack Obama took office and has since nearly doubled because of his policies,incredible
Jim Renacci,"Says Betty Sutton and House Democrats ""gutted"" Medicare by $741 billion to pay for Obamacare.",incredible
Sonji Jacobs,"Initial efforts to strip airport contractors of their special diversity status ""has no effect"" on the contracts or the city’s diversity goals.",credible
Barack Obama,"Paul Ryan’s Medicare plan ""could raise future retirees’ costs more than $6,000.""",credible
Nick Fish,"Says ""cities save an estimated $38 in dental costs for every $1 invested in fluoridation.""",credible
Friends of Democracy,"""Your Congressman, Charlie Bass, took over $166,000 from Big Oil.""",incredible
Paul Ryan,"Says Obama puts ""15 unelected, unaccountable bureaucrats in charge of Medicare, who are required to cut Medicare ... that will lead to denied care for current seniors.""",incredible
Barack Obama,"""Mitt Romney says class sizes don’t matter.""",credible
Bruce Elfant,Says 88 Texas constables have died in the line of duty.,credible
Crossroads GPS,"Says U.S. Senate hopeful Tammy Baldwin voted for a $1 trillion stimulus bill that included a wasteful ""$800,000 to replace light bulbs.""",incredible
Chris Christie,"""I haven't raised taxes in the time I've been the governor of New Jersey.""",credible
Barack Obama,"Says that as Massachusetts governor, Mitt Romney ""condemned coal-fired plants, saying they kill people.""",credible
Barack Obama,"""In Florida, they're already talking about how the Ryan-Romney plan will end Medicare and replace it with a voucher.""",incredible
Special Operations OPSEC Education Fund,"The Obama administration ""leaked information, deliberately or otherwise, that led to the identification of the Pakistani doctor that helped us in achieving our goals and killing bin Laden.""",incredible
John Wisniewski,"Says Congressmen Paul Ryan and Todd Akin co-sponsored legislation ""to limit federal funding for abortion to victims of ‘forcible rape.’""",credible
Tammy Baldwin,"""I led the fight to require the Coast Guard to buy their engines from us, not foreign companies.""",incredible
Clayton County Schools,"""Clayton County Public Schools recently achieved a milestone that has eluded other
metropolitan districts across the state"" by meeting federal guidelines for having a highly qualified staff.",credible
Connie Mack,"""A small business in my district"" needed ""31 different permits and fees just to be able to expand.""",credible
U.S. Chamber of Commerce,"Tim Kaine supported ""higher energy costs for families.""",incredible
Gregory J. Costantino,"Rep. Peter Petrarca ""voted on two pieces of legislation that helped auto body shops ... and at that point I think there is a conflict of interest.""",credible
John Carter,"Says an appointed board created under Obamacare ""will have the ability to come between you and your doctor in determining the best treatment options for you!""",incredible
Betty Sutton,Says House Republicans spent $50 million on 33 votes to repeal Obamacare.,incredible
Mitt Romney,"""Under the president's plan, he cuts Medicare by $716 billion, takes that money out of the Medicare trust fund and uses it to pay for Obamacare.""",credible
Special Operations OPSEC Education Fund,"""Days after the (Osama bin Laden) raid, Hollywood was invited into the White House so that they could receive a briefing"" that revealed intelligence sources and methods.",incredible
Connie Mack,"Says Bill Nelson ""voted to raise our taxes 150 times.""",incredible
Paul Ryan,"Says under Wisconsin law, he cannot remove his name from the ballot for re-election to Congress.",credible
Chris Christie,"Says Jon Corzine ""gave away 14 percent raises over 4 years and he stood on the front steps of the Capitol at a public-sector union rally and said, 'I will fight to get you a great contract.’""",credible
Martavius Jones,"""From a standpoint of the county government, neither school system has received an increase in funding over the past six years.""",credible
Paul Sadler,"Ted Cruz is ""unknown to the vast majority of Texans.""",incredible
Marty Beil,"Says Gov. Scott Walker ""raises the pay of inmates, but we don't raise the pay of staff in our correctional institutions.""",incredible
National Republican Congressional Committee,"Says Reps. Rush Holt, Frank Pallone and Bill Pascrell are ""willing to jeopardize seniors’ access to coverage by gutting $741 billion from Medicare"" to pay for a ""big-government healthcare takeover.""",incredible
Barry Hinckley,"""Thirty percent of [Sheldon Whitehouse' campaign] money is coming from special interests.""",credible
Chris Redfern,"""Paul Ryan got his start in politics, as a young staffer just out of college, working for then-Congressman John Kasich’s Budget Committee.""",credible
Ultraviolet,"Paul Ryan would ""outlaw in vitro fertilization.""",credible
Bill Zedler,"""While (Barack) Obama preaches ‘we are our brother’s keeper,’ his brother and aunt live in real poverty in Kenya.""",credible
Kate Brown,"Says she does the jobs of state auditor, secretary of state and lieutenant governor ""for less than the price of one of them"" in Washington state.",incredible
